layout,selectivity,scan,bitmap,rabit_like
Block-Sorted,0.1%,0.001427,0.017494,0.008591
Block-Sorted,1%,0.001513,0.015009,0.007998
Block-Sorted,5%,0.001787,0.013563,0.007955
Block-Sorted,10%,0.001962,0.013477,0.007991
Block-Sorted,20%,0.002761,0.016551,0.008316
Block-Sorted,50%,0.002492,0.015506,0.008343
Block-Sorted,90%,0.005127,0.01893,0.006912
Random,0.1%,0.010608,0.021757,0.008054
Random,1%,0.00367,0.01601,0.008408
Random,5%,0.005499,0.015173,0.008544
Random,10%,0.006633,0.015779,0.009622
Random,20%,0.004967,0.015929,0.009326
Random,50%,0.005432,0.015337,0.00891
Random,90%,0.005787,0.016086,0.006866
Sorted,0.1%,0.001381,0.022555,0.007798
Sorted,1%,0.001547,0.015086,0.007501
Sorted,5%,0.001954,0.015626,0.007801
Sorted,10%,0.002215,0.015019,0.007647
Sorted,20%,0.002009,0.014075,0.007679
Sorted,50%,0.003366,0.014767,0.007732
Sorted,90%,0.003596,0.014891,0.007103
