query_name,method,discount_low,discount_high,quantity_threshold,run_id,time_sec,result
very_narrow,scan,0.05,0.051,24,1,0.022311687469482422,226203043.5880
very_narrow,bitmap,0.05,0.051,24,1,0.037480831146240234,226203043.58800003
very_narrow,scan,0.05,0.051,24,2,0.005063295364379883,226203043.5880
very_narrow,bitmap,0.05,0.051,24,2,0.03603863716125488,226203043.58800003
very_narrow,scan,0.05,0.051,24,3,0.003841876983642578,226203043.5880
very_narrow,bitmap,0.05,0.051,24,3,0.03710198402404785,226203043.58800003
very_narrow,scan,0.05,0.051,24,4,0.003874063491821289,226203043.5880
very_narrow,bitmap,0.05,0.051,24,4,0.036194562911987305,226203043.58800003
very_narrow,scan,0.05,0.051,24,5,0.0034563541412353516,226203043.5880
very_narrow,bitmap,0.05,0.051,24,5,0.036466360092163086,226203043.58800003
narrow,scan,0.05,0.055,24,1,0.007431507110595703,226203043.5880
narrow,bitmap,0.05,0.055,24,1,0.0368649959564209,226203043.58800003
narrow,scan,0.05,0.055,24,2,0.0067958831787109375,226203043.5880
narrow,bitmap,0.05,0.055,24,2,0.03601956367492676,226203043.58800003
narrow,scan,0.05,0.055,24,3,0.0052907466888427734,226203043.5880
narrow,bitmap,0.05,0.055,24,3,0.03607535362243652,226203043.58800003
narrow,scan,0.05,0.055,24,4,0.005028963088989258,226203043.5880
narrow,bitmap,0.05,0.055,24,4,0.03637290000915527,226203043.58800003
narrow,scan,0.05,0.055,24,5,0.004700422286987305,226203043.5880
narrow,bitmap,0.05,0.055,24,5,0.03635263442993164,226203043.58800003
medium,scan,0.05,0.07,24,1,0.0052416324615478516,812252733.6786
medium,bitmap,0.05,0.07,24,1,0.05566763877868652,812252733.6786001
medium,scan,0.05,0.07,24,2,0.004946231842041016,812252733.6786
medium,bitmap,0.05,0.07,24,2,0.056166648864746094,812252733.6786001
medium,scan,0.05,0.07,24,3,0.004191398620605469,812252733.6786
medium,bitmap,0.05,0.07,24,3,0.05562019348144531,812252733.6786001
medium,scan,0.05,0.07,24,4,0.0043163299560546875,812252733.6786
medium,bitmap,0.05,0.07,24,4,0.0552976131439209,812252733.6786001
medium,scan,0.05,0.07,24,5,0.0033576488494873047,812252733.6786
medium,bitmap,0.05,0.07,24,5,0.05545330047607422,812252733.6786001
wide,scan,0.01,0.09,24,1,0.0057375431060791016,2031173256.3093
wide,bitmap,0.01,0.09,24,1,0.09177494049072266,2031173256.3092992
wide,scan,0.01,0.09,24,2,0.00531005859375,2031173256.3093
wide,bitmap,0.01,0.09,24,2,0.08747673034667969,2031173256.3092992
wide,scan,0.01,0.09,24,3,0.004636287689208984,2031173256.3093
wide,bitmap,0.01,0.09,24,3,0.08726119995117188,2031173256.3092992
wide,scan,0.01,0.09,24,4,0.004453897476196289,2031173256.3093
wide,bitmap,0.01,0.09,24,4,0.08693313598632812,2031173256.3092992
wide,scan,0.01,0.09,24,5,0.0033562183380126953,2031173256.3093
wide,bitmap,0.01,0.09,24,5,0.0872337818145752,2031173256.3092992
