layout,selectivity,bitmap,rabit_like,scan,bitmap_over_rabit_speedup
Block-Sorted,0.1,0.0149066448211669,0.0070654551188151,0.0014546712239583,2.1098
Block-Sorted,1.0,0.0123976071675618,0.0070380369822184,0.0012534459431966,1.7615
Block-Sorted,5.0,0.0123278299967447,0.0069650014241536,0.0018133322397867,1.77
Block-Sorted,10.0,0.0126018524169921,0.0069486300150553,0.001801331837972,1.8136
Block-Sorted,20.0,0.0122692584991455,0.0069572130839029,0.0020343462626139,1.7635
Block-Sorted,30.0,0.0123528639475504,0.0069854259490966,0.0020020008087158,1.7684
Block-Sorted,40.0,0.0122879346211751,0.0069564978281656,0.0023780663808186,1.7664
Block-Sorted,50.0,0.0122915903727213,0.0069717566172281,0.002324104309082,1.7631
Block-Sorted,60.0,0.0131684939066569,0.0072151819864908,0.0026845137278238,1.8251
Block-Sorted,70.0,0.0127751032511393,0.0068217913309733,0.0048214594523111,1.8727
Block-Sorted,80.0,0.012704849243164,0.0067474842071533,0.002113660176595,1.8829
Block-Sorted,90.0,0.0122245947519938,0.0059887568155924,0.002446174621582,2.0413
Random,0.1,0.0177938938140869,0.00661301612854,0.0046027501424153,2.6907
Random,1.0,0.0157617727915445,0.0068752765655517,0.0045363108317057,2.2925
Random,5.0,0.0156702200571695,0.006861130396525,0.004323403040568,2.2839
Random,10.0,0.0155913035074869,0.0066618919372558,0.0041693051656087,2.3404
Random,20.0,0.0157450040181477,0.0080286661783854,0.0046563148498535,1.9611
Random,30.0,0.0184094111124674,0.0087181727091471,0.007054328918457,2.1116
Random,40.0,0.0154374440511067,0.0072283744812011,0.0037186940511067,2.1357
Random,50.0,0.0152590274810791,0.0070381959279378,0.0040442148844401,2.168
Random,60.0,0.0153336524963378,0.0071832338968912,0.0040783087412516,2.1346
Random,70.0,0.015286366144816,0.0070579846700032,0.0041076342264811,2.1658
Random,80.0,0.0156895319620768,0.0071116288503011,0.0042204062143961,2.2062
Random,90.0,0.0157709121704101,0.0062152544657389,0.0044214725494384,2.5375
Sorted,0.1,0.0136784712473551,0.0070796807607014,0.0013035933176676,1.9321
Sorted,1.0,0.0124393304189046,0.007030169169108,0.0012043317159016,1.7694
Sorted,5.0,0.0124252637227376,0.0069154103597005,0.0016300678253173,1.7968
Sorted,10.0,0.0122812589009602,0.0068285465240478,0.0016787052154541,1.7985
Sorted,20.0,0.0123536586761474,0.0069210529327392,0.0019163290659586,1.7849
Sorted,30.0,0.0123525460561116,0.0068661371866861,0.0019295215606689,1.7991
Sorted,40.0,0.0123658974965413,0.0067822138468424,0.0022415320078531,1.8233
Sorted,50.0,0.0122788747151692,0.00677490234375,0.0023779869079589,1.8124
Sorted,60.0,0.0122353235880533,0.0069052378336588,0.0025289058685302,1.7719
Sorted,70.0,0.0136212507883707,0.0069948037465413,0.0026248296101888,1.9473
Sorted,80.0,0.0124836762746175,0.0071186224619547,0.0027233759562174,1.7537
Sorted,90.0,0.0124549865722656,0.0062708854675292,0.0027877489725748,1.9862
