layout,selectivity,scan,bitmap,rabit_like
Block-Sorted,0.1,0.001455,0.014907,0.007065
Block-Sorted,1.0,0.001253,0.012398,0.007038
Block-Sorted,5.0,0.001813,0.012328,0.006965
Block-Sorted,10.0,0.001801,0.012602,0.006949
Block-Sorted,20.0,0.002034,0.012269,0.006957
Block-Sorted,30.0,0.002002,0.012353,0.006985
Block-Sorted,40.0,0.002378,0.012288,0.006956
Block-Sorted,50.0,0.002324,0.012292,0.006972
Block-Sorted,60.0,0.002685,0.013168,0.007215
Block-Sorted,70.0,0.004821,0.012775,0.006822
Block-Sorted,80.0,0.002114,0.012705,0.006747
Block-Sorted,90.0,0.002446,0.012225,0.005989
Random,0.1,0.004603,0.017794,0.006613
Random,1.0,0.004536,0.015762,0.006875
Random,5.0,0.004323,0.01567,0.006861
Random,10.0,0.004169,0.015591,0.006662
Random,20.0,0.004656,0.015745,0.008029
Random,30.0,0.007054,0.018409,0.008718
Random,40.0,0.003719,0.015437,0.007228
Random,50.0,0.004044,0.015259,0.007038
Random,60.0,0.004078,0.015334,0.007183
Random,70.0,0.004108,0.015286,0.007058
Random,80.0,0.00422,0.01569,0.007112
Random,90.0,0.004421,0.015771,0.006215
Sorted,0.1,0.001304,0.013678,0.00708
Sorted,1.0,0.001204,0.012439,0.00703
Sorted,5.0,0.00163,0.012425,0.006915
Sorted,10.0,0.001679,0.012281,0.006829
Sorted,20.0,0.001916,0.012354,0.006921
Sorted,30.0,0.00193,0.012353,0.006866
Sorted,40.0,0.002242,0.012366,0.006782
Sorted,50.0,0.002378,0.012279,0.006775
Sorted,60.0,0.002529,0.012235,0.006905
Sorted,70.0,0.002625,0.013621,0.006995
Sorted,80.0,0.002723,0.012484,0.007119
Sorted,90.0,0.002788,0.012455,0.006271
